"level","position","tech_stack","experience","gender","company","company_size","work_type","city","currency","salary","raise_period"
"Senior","Full Stack Developer","Go, Python, JavaScript | Html | Css, React, Vue","15 Yıl ve üzeri","Erkek","E-Ticaret","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","15.000 - 15.999","1"
"Senior","Mobile Application Developer (Android)","Java, Kotlin","7 - 10 Yıl","Erkek","Yazılım Evi & Danışmanlık","250+","Remote","Kocaeli","₺ - Türk Lirası","60.000 - 60.999","2"
"Middle","Front-end Developer",".Net, JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Startup","20 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","25.000 - 25.999","2"
"Junior","Full Stack Developer","NodeJS, React","1 - 3 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası","20.000 - 20.999","2"
"Middle","Front-end Developer",".Net, Php, JavaScript | Html | Css, Vue, Angular","5 - 7 Yıl","Erkek","Startup","20 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","36.000 - 36.999","2"
"Middle","Front-end Developer","JavaScript | Html | Css, Vue","3 - 5 Yıl","Erkek","E-Ticaret","100 - 250 Kişi","Remote","Aydın","₺ - Türk Lirası","30.000 - 30.999","1"
"Senior","Team / Tech Lead",".Net, Python, React Native","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","40.000 - 40.999","2"
"Middle","Full Stack Developer","Java, .Net, JavaScript | Html | Css, Flutter","3 - 5 Yıl","Erkek","Yazılım Evi & Danışmanlık","5 - 10 Kişi","Remote","İzmir","₺ - Türk Lirası","25.000 - 25.999","1"
"Senior","Back-end Developer","Java, .Net, Go, Kotlin","3 - 5 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası","67.000 - 67.999","2"
"Senior","Team / Tech Lead","Java, JavaScript | Html | Css, React, Vue","10 - 12 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Antalya","₺ - Türk Lirası","59.000 - 59.999","3"
"Senior","Team / Tech Lead",".Net","12 - 14 Yıl","Erkek","Startup","100 - 250 Kişi","Remote","İstanbul","$ - Dolar","2.000 - 2.999","1"
"Junior","Front-end Developer","Php, JavaScript | Html | Css","1 - 3 Yıl","Erkek","Outsource","1 - 5 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","17.000 - 17.999","1"
"Senior","Back-end Developer",".Net","10 - 12 Yıl","Erkek","Yazılım Evi & Danışmanlık","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası","35.000 - 35.999","1"
"Middle","Back-end Developer",".Net","3 - 5 Yıl","Erkek","Yazılım Evi & Danışmanlık","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası","26.000 - 26.999","2"
"Senior","Director of Software Development","Python","12 - 14 Yıl","Erkek","Startup","10 - 20 Kişi","Remote","İstanbul","₺ - Türk Lirası","41.000 - 41.999","2"
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css, Angular","3 - 5 Yıl","Erkek","Kurumsal","250+","Ofis","Ankara","₺ - Türk Lirası","28.000 - 28.999","2"
